rep,condition,split,seed,success,steps,error
1,nobank,eval_out_of_distribution,15,True,21,
1,nobank,eval_out_of_distribution,16,False,50,
1,nobank,eval_out_of_distribution,17,False,50,
1,nobank,eval_out_of_distribution,18,False,50,
1,nobank,eval_out_of_distribution,19,False,50,
1,nobank,eval_out_of_distribution,20,True,39,
1,nobank,eval_out_of_distribution,21,True,11,
1,nobank,eval_out_of_distribution,22,False,50,
1,nobank,eval_out_of_distribution,23,True,30,
1,nobank,eval_out_of_distribution,24,True,39,
1,nobank,eval_out_of_distribution,25,False,50,
1,nobank,eval_out_of_distribution,26,False,50,
1,nobank,eval_out_of_distribution,27,False,50,
1,nobank,eval_out_of_distribution,28,False,50,
1,nobank,eval_out_of_distribution,29,False,50,
1,orig,eval_in_distribution,0,False,50,
1,orig,eval_in_distribution,1,False,50,
1,orig,eval_in_distribution,2,False,50,
1,orig,eval_in_distribution,3,False,50,
1,orig,eval_in_distribution,4,False,50,
1,orig,eval_in_distribution,5,True,5,
1,orig,eval_in_distribution,6,True,37,
1,orig,eval_in_distribution,7,True,12,
1,orig,eval_in_distribution,8,True,9,
1,orig,eval_in_distribution,9,False,50,
1,orig,eval_in_distribution,10,True,7,
1,orig,eval_in_distribution,11,False,50,
1,orig,eval_in_distribution,12,True,7,
1,orig,eval_in_distribution,13,True,9,
1,orig,eval_in_distribution,14,True,24,
1,orig,eval_in_distribution,15,True,11,
1,orig,eval_in_distribution,16,True,16,
1,orig,eval_in_distribution,17,False,50,
1,orig,eval_in_distribution,18,False,50,
1,orig,eval_in_distribution,19,False,50,
1,orig,eval_in_distribution,20,True,22,
1,orig,eval_in_distribution,21,False,50,
1,orig,eval_in_distribution,22,False,50,
1,orig,eval_in_distribution,23,True,14,
1,orig,eval_in_distribution,24,True,30,
1,orig,eval_in_distribution,25,False,50,
1,orig,eval_in_distribution,26,False,50,
1,orig,eval_in_distribution,27,False,50,
1,orig,eval_in_distribution,28,False,50,
1,orig,eval_in_distribution,29,False,50,
1,orig,eval_out_of_distribution,0,True,41,
1,orig,eval_out_of_distribution,1,False,50,
1,orig,eval_out_of_distribution,2,True,35,
1,orig,eval_out_of_distribution,3,False,50,
1,orig,eval_out_of_distribution,4,False,50,
1,orig,eval_out_of_distribution,5,False,50,
1,orig,eval_out_of_distribution,6,False,50,
1,orig,eval_out_of_distribution,7,False,50,
1,orig,eval_out_of_distribution,8,False,50,
1,orig,eval_out_of_distribution,9,False,50,
1,orig,eval_out_of_distribution,10,False,50,
1,orig,eval_out_of_distribution,11,False,50,
1,orig,eval_out_of_distribution,12,False,50,
1,orig,eval_out_of_distribution,13,True,9,
1,orig,eval_out_of_distribution,14,True,32,
1,orig,eval_out_of_distribution,15,True,7,
1,orig,eval_out_of_distribution,16,True,11,
1,orig,eval_out_of_distribution,17,False,50,
1,orig,eval_out_of_distribution,18,False,50,
1,orig,eval_out_of_distribution,19,True,7,
1,orig,eval_out_of_distribution,20,False,50,
1,orig,eval_out_of_distribution,21,True,10,
1,orig,eval_out_of_distribution,22,True,10,
1,orig,eval_out_of_distribution,23,True,17,
1,orig,eval_out_of_distribution,24,True,23,
1,orig,eval_out_of_distribution,25,False,50,
1,orig,eval_out_of_distribution,26,False,50,
1,orig,eval_out_of_distribution,27,True,9,
1,orig,eval_out_of_distribution,28,False,50,
1,orig,eval_out_of_distribution,29,True,15,
2,nobank,eval_in_distribution,0,False,50,
2,nobank,eval_in_distribution,1,False,50,
2,nobank,eval_in_distribution,2,False,50,
2,nobank,eval_in_distribution,3,True,35,
2,nobank,eval_in_distribution,4,False,50,
2,nobank,eval_in_distribution,5,True,4,
2,nobank,eval_in_distribution,6,False,50,
2,nobank,eval_in_distribution,7,False,50,
2,nobank,eval_in_distribution,8,True,41,
2,nobank,eval_in_distribution,9,True,33,
2,nobank,eval_in_distribution,10,True,4,
2,nobank,eval_in_distribution,11,False,50,
2,nobank,eval_in_distribution,12,True,12,
2,nobank,eval_in_distribution,13,False,50,
2,nobank,eval_in_distribution,14,True,18,
2,nobank,eval_in_distribution,15,True,40,
2,nobank,eval_in_distribution,16,False,50,
2,nobank,eval_in_distribution,17,False,50,
2,nobank,eval_in_distribution,18,False,50,
2,nobank,eval_in_distribution,19,False,50,
2,nobank,eval_in_distribution,20,False,50,
2,nobank,eval_in_distribution,21,True,4,
2,nobank,eval_in_distribution,22,True,11,
2,nobank,eval_in_distribution,23,True,7,
2,nobank,eval_in_distribution,24,True,25,
2,nobank,eval_in_distribution,25,False,50,
2,nobank,eval_in_distribution,26,True,9,
2,nobank,eval_in_distribution,27,False,50,
2,nobank,eval_in_distribution,28,False,50,
2,nobank,eval_in_distribution,29,False,50,
2,nobank,eval_out_of_distribution,0,False,50,
2,nobank,eval_out_of_distribution,1,False,50,
2,nobank,eval_out_of_distribution,2,False,50,
2,nobank,eval_out_of_distribution,3,False,50,
2,nobank,eval_out_of_distribution,4,True,23,
2,nobank,eval_out_of_distribution,5,False,50,
2,nobank,eval_out_of_distribution,6,False,50,
2,nobank,eval_out_of_distribution,7,True,15,
2,nobank,eval_out_of_distribution,8,False,50,
2,nobank,eval_out_of_distribution,9,False,50,
2,nobank,eval_out_of_distribution,10,True,32,
2,nobank,eval_out_of_distribution,11,True,3,
2,nobank,eval_out_of_distribution,12,False,50,
2,nobank,eval_out_of_distribution,13,True,44,
2,nobank,eval_out_of_distribution,14,False,50,
2,nobank,eval_out_of_distribution,15,True,25,
2,nobank,eval_out_of_distribution,16,False,50,
2,nobank,eval_out_of_distribution,17,False,50,
2,nobank,eval_out_of_distribution,18,False,50,
2,nobank,eval_out_of_distribution,19,False,50,
2,nobank,eval_out_of_distribution,20,True,29,
2,nobank,eval_out_of_distribution,21,True,9,
2,nobank,eval_out_of_distribution,22,False,50,
2,nobank,eval_out_of_distribution,23,False,50,
2,nobank,eval_out_of_distribution,24,False,50,
2,nobank,eval_out_of_distribution,25,True,44,
2,nobank,eval_out_of_distribution,26,False,50,
2,nobank,eval_out_of_distribution,27,False,50,
2,nobank,eval_out_of_distribution,28,False,50,
2,nobank,eval_out_of_distribution,29,False,50,
2,orig,eval_in_distribution,0,False,50,
2,orig,eval_in_distribution,1,False,50,
2,orig,eval_in_distribution,2,True,18,
2,orig,eval_in_distribution,3,False,50,
2,orig,eval_in_distribution,4,False,50,
2,orig,eval_in_distribution,5,True,5,
2,orig,eval_in_distribution,6,False,50,
2,orig,eval_in_distribution,7,True,30,
2,orig,eval_in_distribution,8,True,9,
2,orig,eval_in_distribution,9,False,50,
2,orig,eval_in_distribution,10,True,8,
2,orig,eval_in_distribution,11,False,50,
2,orig,eval_in_distribution,12,True,7,
2,orig,eval_in_distribution,13,True,9,
2,orig,eval_in_distribution,14,True,42,
2,orig,eval_in_distribution,15,True,9,
2,orig,eval_in_distribution,16,True,37,
2,orig,eval_in_distribution,17,False,50,
2,orig,eval_in_distribution,18,False,50,
2,orig,eval_in_distribution,19,False,50,
2,orig,eval_in_distribution,20,False,50,
2,orig,eval_in_distribution,21,False,50,
2,orig,eval_in_distribution,22,False,50,
2,orig,eval_in_distribution,23,True,4,
2,orig,eval_in_distribution,24,True,8,
2,orig,eval_in_distribution,25,False,50,
2,orig,eval_in_distribution,26,False,50,
2,orig,eval_in_distribution,27,False,50,
2,orig,eval_in_distribution,28,False,50,
2,orig,eval_in_distribution,29,False,50,
2,orig,eval_out_of_distribution,0,False,50,
2,orig,eval_out_of_distribution,1,False,50,
2,orig,eval_out_of_distribution,2,True,47,
2,orig,eval_out_of_distribution,3,False,50,
2,orig,eval_out_of_distribution,4,True,20,
2,orig,eval_out_of_distribution,5,False,50,
2,orig,eval_out_of_distribution,6,False,50,
2,orig,eval_out_of_distribution,7,False,50,
2,orig,eval_out_of_distribution,8,False,50,
2,orig,eval_out_of_distribution,9,False,50,
2,orig,eval_out_of_distribution,10,True,19,
2,orig,eval_out_of_distribution,11,False,50,
2,orig,eval_out_of_distribution,12,False,50,
2,orig,eval_out_of_distribution,13,True,9,
2,orig,eval_out_of_distribution,14,True,24,
2,orig,eval_out_of_distribution,15,True,7,
2,orig,eval_out_of_distribution,16,True,23,
2,orig,eval_out_of_distribution,17,False,50,
2,orig,eval_out_of_distribution,18,False,50,
2,orig,eval_out_of_distribution,19,True,7,
2,orig,eval_out_of_distribution,20,False,50,
2,orig,eval_out_of_distribution,21,True,8,
2,orig,eval_out_of_distribution,22,True,45,
2,orig,eval_out_of_distribution,23,True,43,
2,orig,eval_out_of_distribution,24,True,28,
2,orig,eval_out_of_distribution,25,False,50,
2,orig,eval_out_of_distribution,26,False,50,
2,orig,eval_out_of_distribution,27,True,15,
2,orig,eval_out_of_distribution,28,False,50,
2,orig,eval_out_of_distribution,29,True,15,
3,nobank,eval_in_distribution,0,True,48,
3,nobank,eval_in_distribution,1,False,50,
3,nobank,eval_in_distribution,2,True,23,
3,nobank,eval_in_distribution,3,False,50,
3,nobank,eval_in_distribution,4,False,50,
3,nobank,eval_in_distribution,5,True,4,
3,nobank,eval_in_distribution,6,False,50,
3,nobank,eval_in_distribution,7,False,50,
3,nobank,eval_in_distribution,8,True,30,
3,nobank,eval_in_distribution,9,False,50,
3,nobank,eval_in_distribution,10,True,4,
3,nobank,eval_in_distribution,11,False,50,
3,nobank,eval_in_distribution,12,False,50,
3,nobank,eval_in_distribution,13,False,50,
3,nobank,eval_in_distribution,14,True,28,
3,nobank,eval_in_distribution,15,False,50,
3,nobank,eval_in_distribution,16,True,42,
3,nobank,eval_in_distribution,17,False,50,
3,nobank,eval_in_distribution,18,True,37,
3,nobank,eval_in_distribution,19,False,50,
3,nobank,eval_in_distribution,20,True,43,
3,nobank,eval_in_distribution,21,True,6,
3,nobank,eval_in_distribution,22,True,11,
3,nobank,eval_in_distribution,23,True,6,
3,nobank,eval_in_distribution,24,True,17,
3,nobank,eval_in_distribution,25,False,50,
3,nobank,eval_in_distribution,26,True,3,
3,nobank,eval_in_distribution,27,False,50,
3,nobank,eval_in_distribution,28,True,47,
3,nobank,eval_in_distribution,29,False,50,
3,nobank,eval_out_of_distribution,0,False,50,
3,nobank,eval_out_of_distribution,1,False,50,
3,nobank,eval_out_of_distribution,2,False,50,
3,nobank,eval_out_of_distribution,3,False,50,
3,nobank,eval_out_of_distribution,4,True,23,
3,nobank,eval_out_of_distribution,5,False,50,
3,nobank,eval_out_of_distribution,6,False,50,
3,nobank,eval_out_of_distribution,7,True,7,
3,nobank,eval_out_of_distribution,8,False,50,
3,nobank,eval_out_of_distribution,9,False,50,
3,nobank,eval_out_of_distribution,10,True,28,
3,nobank,eval_out_of_distribution,11,True,3,
3,nobank,eval_out_of_distribution,12,False,50,
3,nobank,eval_out_of_distribution,13,False,50,
3,nobank,eval_out_of_distribution,14,False,50,
3,nobank,eval_out_of_distribution,15,True,21,
3,nobank,eval_out_of_distribution,16,True,15,
3,nobank,eval_out_of_distribution,17,False,50,
3,nobank,eval_out_of_distribution,18,False,50,
3,nobank,eval_out_of_distribution,19,False,50,
3,nobank,eval_out_of_distribution,20,True,26,
3,nobank,eval_out_of_distribution,21,True,9,
3,nobank,eval_out_of_distribution,22,False,50,
3,nobank,eval_out_of_distribution,23,True,44,
3,nobank,eval_out_of_distribution,24,True,49,
3,nobank,eval_out_of_distribution,25,False,50,
3,nobank,eval_out_of_distribution,26,False,50,
3,nobank,eval_out_of_distribution,27,False,50,
3,nobank,eval_out_of_distribution,28,False,50,
3,nobank,eval_out_of_distribution,29,False,50,
3,orig,eval_in_distribution,0,False,50,
3,orig,eval_in_distribution,1,False,50,
3,orig,eval_in_distribution,2,False,50,
3,orig,eval_in_distribution,3,False,50,
3,orig,eval_in_distribution,4,False,50,
3,orig,eval_in_distribution,5,True,6,
3,orig,eval_in_distribution,6,True,27,
3,orig,eval_in_distribution,7,True,32,
3,orig,eval_in_distribution,8,True,8,
3,orig,eval_in_distribution,9,False,50,
3,orig,eval_in_distribution,10,True,7,
3,orig,eval_in_distribution,11,False,50,
3,orig,eval_in_distribution,12,True,7,
3,orig,eval_in_distribution,13,True,11,
3,orig,eval_in_distribution,14,True,21,
3,orig,eval_in_distribution,15,True,11,
3,orig,eval_in_distribution,16,True,22,
3,orig,eval_in_distribution,17,False,50,
3,orig,eval_in_distribution,18,False,50,
3,orig,eval_in_distribution,19,False,50,
3,orig,eval_in_distribution,20,False,50,
3,orig,eval_in_distribution,21,False,50,
3,orig,eval_in_distribution,22,True,31,
3,orig,eval_in_distribution,23,True,4,
3,orig,eval_in_distribution,24,True,19,
3,orig,eval_in_distribution,25,False,50,
3,orig,eval_in_distribution,26,False,50,
3,orig,eval_in_distribution,27,False,50,
3,orig,eval_in_distribution,28,False,50,
3,orig,eval_in_distribution,29,False,50,
3,orig,eval_out_of_distribution,0,False,50,
3,orig,eval_out_of_distribution,1,False,50,
3,orig,eval_out_of_distribution,2,True,37,
3,orig,eval_out_of_distribution,3,False,50,
3,orig,eval_out_of_distribution,4,False,50,
3,orig,eval_out_of_distribution,5,False,50,
3,orig,eval_out_of_distribution,6,False,50,
3,orig,eval_out_of_distribution,7,False,50,
3,orig,eval_out_of_distribution,8,False,50,
3,orig,eval_out_of_distribution,9,False,50,
3,orig,eval_out_of_distribution,10,False,50,
3,orig,eval_out_of_distribution,11,False,50,
3,orig,eval_out_of_distribution,12,False,50,
3,orig,eval_out_of_distribution,13,True,10,
3,orig,eval_out_of_distribution,14,True,28,
3,orig,eval_out_of_distribution,15,True,7,
3,orig,eval_out_of_distribution,16,True,19,
3,orig,eval_out_of_distribution,17,False,50,
3,orig,eval_out_of_distribution,18,False,50,
3,orig,eval_out_of_distribution,19,True,7,
3,orig,eval_out_of_distribution,20,False,50,
3,orig,eval_out_of_distribution,21,True,7,
3,orig,eval_out_of_distribution,22,True,22,
3,orig,eval_out_of_distribution,23,True,17,
3,orig,eval_out_of_distribution,24,True,25,
3,orig,eval_out_of_distribution,25,False,50,
3,orig,eval_out_of_distribution,26,False,50,
3,orig,eval_out_of_distribution,27,True,16,
3,orig,eval_out_of_distribution,28,False,50,
3,orig,eval_out_of_distribution,29,True,15,
